gkz,values,name,classIndices,friendlyUrl,type,selected,geometry,count_osm
07319000,[ 10.699999999999999 ],Worms,[ 5 ],worms,KREISFREIE_STADT,,"MULTIPOLYGON (((8.4147 49.595, 8.358 49.6086, 8.3434 49.5951, 8.2809 49.5869, 8.2566 49.5911, 8.2379 49.6276, 8.2453 49.6504, 8.279 49.6552, 8.2638 49.6716, 8.2577 49.6887, 8.3427 49.683, 8.3506 49.7306, 8.4462 49.7307, 8.4258 49.7165, 8.3605 49.6964, 8.3669 49.6624, 8.4147 49.595)))",20.0
08125098,[ 10.5 ],Untergruppenbach,[ 5 ],untergruppenbach,GEMEINDE,,"MULTIPOLYGON (((9.2487 49.0848, 9.2446 49.0874, 9.2576 49.1045, 9.3016 49.1163, 9.3367 49.1067, 9.374 49.0884, 9.3678 49.0794, 9.3753 49.0778, 9.3638 49.0728, 9.3404 49.0682, 9.3402 49.0762, 9.311 49.0759, 9.2996 49.0924, 9.2806 49.0784, 9.2487 49.0848)))",1.0
05974048,[ 7.7000000000000002 ],Welver,[ 3 ],welver,GEMEINDE,,"MULTIPOLYGON (((7.9104 51.594, 7.9114 51.6138, 7.9497 51.6432, 7.9531 51.6727, 7.9979 51.6746, 8.0221 51.6393, 8.087 51.6239, 8.041 51.5904, 8.0476 51.5745, 7.9984 51.5632, 7.9766 51.5879, 7.9189 51.5815, 7.9104 51.594)))",1.0
09678174,[ 9.4000000000000004 ],Schonungen,[ 5 ],schonungen,GEMEINDE,,"MULTIPOLYGON (((10.3682 50.1338, 10.395 50.1385, 10.406 50.1258, 10.3774 50.0931, 10.4276 50.0834, 10.4239 50.0715, 10.3969 50.0431, 10.3769 50.0454, 10.3801 50.0303, 10.3625 50.0244, 10.3203 50.0298, 10.2897 50.0384, 10.2721 50.0558, 10.2575 50.0572, 10.2605 50.0761, 10.2722 50.0878, 10.2862 50.0675, 10.2884 50.0849, 10.354 50.1081, 10.3328 50.1165, 10.3423 50.1291, 10.3682 50.1338)))",1.0
03359013,[ 8.8000000000000007 ],Drochtersen,[ 4 ],drochtersen,GEMEINDE,,"MULTIPOLYGON (((9.3968 53.6493, 9.3116 53.6964, 9.2295 53.6952, 9.2983 53.7297, 9.3392 53.7425, 9.3246 53.7702, 9.3414 53.785, 9.356 53.7881, 9.4139 53.7277, 9.4867 53.6811, 9.4387 53.6767, 9.3968 53.6493)), ((9.4469 53.7199, 9.4622 53.7142, 9.4779 53.6998, 9.4408 53.7193, 9.4469 53.7199)))",2.0
09771146,[ 10.5 ],Mering,[ 5 ],mering,GEMEINDE,,"MULTIPOLYGON (((10.9446 48.2811, 10.998 48.2869, 11.0623 48.2742, 11.0635 48.2547, 11.0443 48.2556, 10.9657 48.2482, 10.9406 48.2669, 10.9446 48.2811)))",3.0
08317110,[ 8.3000000000000007 ],Renchen,[ 4 ],renchen,GEMEINDE,,"MULTIPOLYGON (((7.9651 48.6159, 7.966 48.6183, 8.0313 48.593, 8.0944 48.5945, 8.09 48.5693, 8.006 48.5659, 7.9725 48.5911, 7.9651 48.6159)), ((7.9889 48.6688, 7.9993 48.6627, 8.0037 48.6495, 7.9922 48.646, 8.0069 48.6454, 8.008 48.6326, 7.9716 48.6367, 7.9884 48.6495, 7.9797 48.667, 7.9889 48.6688)))",1.0
09178143,[ 9.9000000000000004 ],Moosburg an der Isar,[ 5 ],moosburg-an-der-isar,GEMEINDE,,"MULTIPOLYGON (((11.9116 48.4275, 11.8831 48.4558, 11.8672 48.4768, 11.8808 48.4893, 11.928 48.4822, 11.9556 48.4998, 11.9614 48.4744, 12.0066 48.4837, 12.0022 48.4741, 11.9916 48.4498, 12.0093 48.4513, 12.017 48.4307, 11.9657 48.4548, 11.9133 48.4272, 11.9116 48.4275)))",3.0
08225058,[ 9.1999999999999993 ],Mosbach,[ 4 ],mosbach,GEMEINDE,,"MULTIPOLYGON (((9.1364 49.4607, 9.1509 49.4432, 9.13 49.4252, 9.1826 49.4193, 9.1789 49.4025, 9.1567 49.4046, 9.1584 49.3855, 9.1907 49.3538, 9.1969 49.3432, 9.1789 49.3375, 9.114 49.3212, 9.0986 49.3302, 9.1039 49.3583, 9.088 49.3679, 9.1027 49.3843, 9.0876 49.3981, 9.0973 49.4206, 9.1303 49.4609, 9.1364 49.4607)))",9.0
06437006,[ 8.5 ],Erbach (ERB),[ 4 ],erbach-erb,GEMEINDE,,"MULTIPOLYGON (((8.9661 49.6093, 8.9436 49.6735, 9.0167 49.6634, 9.0686 49.6748, 9.0476 49.6372, 9.0662 49.6188, 9.0663 49.6022, 9.0695 49.5867, 9.0527 49.5858, 9.0352 49.6041, 8.9661 49.6093)))",3.0
05978016,[ 7.0999999999999996 ],Holzwickede,[ 3 ],holzwickede,GEMEINDE,,"MULTIPOLYGON (((7.6327 51.5193, 7.6686 51.4928, 7.6561 51.4707, 7.6727 51.4674, 7.6303 51.4514, 7.633 51.4632, 7.6046 51.4761, 7.5967 51.5074, 7.6327 51.5193)))",3.0
09274128,[ 9.0 ],Essenbach,[ 4 ],essenbach,GEMEINDE,,"MULTIPOLYGON (((12.1887 48.5642, 12.1967 48.5778, 12.1325 48.6226, 12.1368 48.6499, 12.174 48.6533, 12.2386 48.6568, 12.256 48.6745, 12.3041 48.6224, 12.2884 48.6125, 12.3006 48.6003, 12.2775 48.5939, 12.1887 48.5642)))",2.0
05962044,[ 9.0 ],Nachrodt-Wiblingwerde,[ 4 ],nachrodt-wiblingwerde,GEMEINDE,,"MULTIPOLYGON (((7.5933 51.3393, 7.6299 51.336, 7.6436 51.3509, 7.6666 51.3315, 7.6562 51.3168, 7.6331 51.2756, 7.5827 51.2959, 7.5768 51.3302, 7.5933 51.3393)))",0.0
09676121,[ 9.0999999999999996 ],Elsenfeld,[ 4 ],elsenfeld,GEMEINDE,,"MULTIPOLYGON (((9.2439 49.8051, 9.2219 49.8045, 9.1841 49.8118, 9.1968 49.8301, 9.1606 49.827, 9.1465 49.8329, 9.1559 49.8539, 9.1579 49.8616, 9.2179 49.8414, 9.2321 49.8537, 9.2454 49.8657, 9.2589 49.8526, 9.2288 49.8213, 9.2439 49.8051)))",2.0
08317057,[ 9.6999999999999993 ],Kehl,[ 5 ],kehl,GEMEINDE,,"MULTIPOLYGON (((7.7936 48.5008, 7.8065 48.5183, 7.8006 48.5855, 7.8362 48.6341, 7.8791 48.6382, 7.8826 48.612, 7.9299 48.6044, 7.9325 48.622, 7.9502 48.6038, 7.9386 48.5921, 7.8928 48.6033, 7.879 48.5893, 7.8918 48.5655, 7.881 48.549, 7.8451 48.567, 7.8414 48.5164, 7.8787 48.4989, 7.8615 48.4865, 7.8453 48.4927, 7.7936 48.5008)))",9.0
09662000,[ 10.199999999999999 ],Schweinfurt,[ 5 ],schweinfurt,KREISFREIE_STADT,,"MULTIPOLYGON (((10.2721 50.0558, 10.2403 50.0393, 10.2474 50.0217, 10.2347 50.0138, 10.1986 50.013, 10.1655 50.0311, 10.1894 50.0435, 10.1795 50.0536, 10.2004 50.0717, 10.2252 50.0657, 10.2218 50.0915, 10.235 50.0948, 10.2376 50.0788, 10.2569 50.0885, 10.2605 50.0761, 10.2575 50.0572, 10.2721 50.0558)))",19.0
05362004,[ 9.3000000000000007 ],Bedburg,[ 4 ],bedburg,GEMEINDE,,"MULTIPOLYGON (((6.5 50.9735, 6.459 51.0043, 6.4657 51.0194, 6.453 51.0248, 6.4803 51.0341, 6.5259 51.0584, 6.5538 51.0557, 6.5504 51.0351, 6.5656 51.0219, 6.6373 51.0267, 6.6487 51.0212, 6.6571 50.9921, 6.6129 50.9952, 6.5626 50.9693, 6.5 50.9735)))",7.0
05358020,[ 10.300000000000001 ],Inden,[ 5 ],inden,GEMEINDE,,"MULTIPOLYGON (((6.336 50.8846, 6.3763 50.8965, 6.4127 50.8797, 6.4334 50.8575, 6.3889 50.8357, 6.3409 50.8334, 6.3149 50.854, 6.3215 50.8682, 6.336 50.8846)))",1.0
08237019,[ 10.4 ],Dornstetten,[ 5 ],dornstetten,GEMEINDE,,"MULTIPOLYGON (((8.4899 48.454, 8.4562 48.4592, 8.4836 48.4837, 8.4876 48.5098, 8.4691 48.5229, 8.4869 48.5161, 8.515 48.498, 8.5455 48.4928, 8.5441 48.4711, 8.5275 48.4608, 8.4899 48.454)))",2.0
